[2026-01-28 19:15:58] Disaster detected | Severity: HIGH
[2026-01-28 19:16:03] Disaster detected | Severity: LOW
[2026-01-28 19:16:08] Disaster detected | Severity: HIGH
[2026-01-28 19:16:13] Disaster detected | Severity: LOW
[2026-01-28 19:16:18] Disaster detected | Severity: LOW
[2026-01-28 19:16:23] Disaster detected | Severity: HIGH
[2026-01-28 19:16:28] Disaster detected | Severity: HIGH
[2026-01-28 19:16:33] Disaster detected | Severity: MODERATE
[2026-01-28 19:16:38] Disaster detected | Severity: LOW
[2026-01-28 19:16:43] Disaster detected | Severity: LOW
[2026-01-28 19:16:48] Disaster detected | Severity: LOW
[2026-01-28 19:16:53] Disaster detected | Severity: LOW
[2026-01-28 19:16:58] Disaster detected | Severity: LOW
[2026-01-28 19:17:03] Disaster detected | Severity: MODERATE
[2026-01-28 19:17:08] Disaster detected | Severity: HIGH
[2026-01-28 19:17:13] Disaster detected | Severity: LOW
[2026-01-28 19:17:18] Disaster detected | Severity: HIGH
[2026-01-28 19:17:23] Disaster detected | Severity: LOW
[2026-01-28 19:17:28] Disaster detected | Severity: HIGH
[2026-01-28 19:17:33] Disaster detected | Severity: LOW
[2026-01-28 19:17:38] Disaster detected | Severity: HIGH
[2026-01-28 19:17:43] Disaster detected | Severity: MODERATE
[2026-01-28 19:17:48] Disaster detected | Severity: MODERATE
[2026-01-28 19:29:37] Disaster detected | Severity: HIGH
[2026-01-28 19:29:42] Disaster detected | Severity: CRITICAL
[2026-01-28 19:29:47] Disaster detected | Severity: MODERATE
[2026-01-28 19:29:52] Disaster detected | Severity: LOW
[2026-01-28 19:29:57] Disaster detected | Severity: CRITICAL
[2026-01-28 19:30:02] Disaster detected | Severity: MODERATE
[2026-01-28 19:30:07] Disaster detected | Severity: HIGH
[2026-01-28 19:30:12] Disaster detected | Severity: HIGH
[2026-01-28 19:30:17] Disaster detected | Severity: LOW
[2026-01-28 19:30:22] Disaster detected | Severity: HIGH
[2026-01-28 19:30:27] Disaster detected | Severity: LOW
[2026-01-28 19:30:32] Disaster detected | Severity: CRITICAL
[2026-01-28 19:30:37] Disaster detected | Severity: HIGH
[2026-01-28 19:30:42] Disaster detected | Severity: CRITICAL
[2026-01-28 19:30:47] Disaster detected | Severity: HIGH
[2026-01-28 19:30:52] Disaster detected | Severity: CRITICAL
[2026-01-28 19:30:57] Disaster detected | Severity: LOW
[2026-01-28 19:31:02] Disaster detected | Severity: LOW
[2026-01-28 19:31:07] Disaster detected | Severity: MODERATE
[2026-01-28 19:31:12] Disaster detected | Severity: LOW
[2026-02-12 11:17:52] Disaster detected | Severity: HIGH
[2026-02-12 11:17:57] Disaster detected | Severity: LOW
[2026-02-12 11:18:02] Disaster detected | Severity: LOW
[2026-02-12 11:18:07] Disaster detected | Severity: LOW
[2026-02-12 11:18:12] Disaster detected | Severity: HIGH
[2026-02-12 11:18:17] Disaster detected | Severity: CRITICAL
[2026-02-12 11:18:22] Disaster detected | Severity: CRITICAL
[2026-02-12 11:18:27] Disaster detected | Severity: CRITICAL
[2026-02-12 11:18:32] Disaster detected | Severity: CRITICAL
[2026-02-12 11:18:37] Disaster detected | Severity: HIGH
[2026-02-12 11:18:42] Disaster detected | Severity: LOW
[2026-02-12 11:18:47] Disaster detected | Severity: MODERATE
[2026-02-12 11:18:52] Disaster detected | Severity: LOW
[2026-02-12 11:18:57] Disaster detected | Severity: MODERATE
[2026-02-12 11:19:02] Disaster detected | Severity: HIGH
[2026-02-12 11:19:07] Disaster detected | Severity: HIGH
[2026-02-12 11:19:12] Disaster detected | Severity: MODERATE
[2026-02-12 11:19:17] Disaster detected | Severity: CRITICAL
[2026-02-12 11:19:22] Disaster detected | Severity: MODERATE
[2026-02-12 11:19:27] Disaster detected | Severity: LOW
[2026-02-12 11:19:32] Disaster detected | Severity: LOW
[2026-02-12 11:19:37] Disaster detected | Severity: CRITICAL
[2026-02-12 11:19:42] Disaster detected | Severity: HIGH
[2026-02-12 11:19:47] Disaster detected | Severity: MODERATE
[2026-02-12 11:19:52] Disaster detected | Severity: HIGH
[2026-02-12 11:19:57] Disaster detected | Severity: HIGH
[2026-02-12 11:20:02] Disaster detected | Severity: MODERATE
[2026-02-12 11:20:07] Disaster detected | Severity: MODERATE
[2026-02-12 11:20:12] Disaster detected | Severity: HIGH
[2026-02-12 11:20:17] Disaster detected | Severity: CRITICAL
[2026-02-12 11:20:22] Disaster detected | Severity: LOW
[2026-02-12 11:20:27] Disaster detected | Severity: LOW
[2026-02-12 11:20:32] Disaster detected | Severity: MODERATE
[2026-02-12 11:20:37] Disaster detected | Severity: MODERATE
[2026-02-12 11:20:42] Disaster detected | Severity: HIGH
[2026-02-12 11:20:47] Disaster detected | Severity: CRITICAL
[2026-02-12 11:20:52] Disaster detected | Severity: MODERATE
[2026-02-12 11:20:57] Disaster detected | Severity: HIGH
[2026-02-12 11:21:02] Disaster detected | Severity: LOW
[2026-02-12 11:21:07] Disaster detected | Severity: MODERATE
[2026-02-12 11:21:12] Disaster detected | Severity: MODERATE
[2026-02-12 11:21:17] Disaster detected | Severity: MODERATE
[2026-02-12 11:21:22] Disaster detected | Severity: LOW
[2026-02-12 11:21:27] Disaster detected | Severity: LOW
[2026-02-12 11:21:32] Disaster detected | Severity: HIGH
[2026-02-12 11:21:37] Disaster detected | Severity: MODERATE
[2026-02-12 11:21:42] Disaster detected | Severity: LOW
[2026-02-12 11:21:47] Disaster detected | Severity: CRITICAL
[2026-02-12 11:21:52] Disaster detected | Severity: LOW
[2026-02-12 11:21:57] Disaster detected | Severity: HIGH
[2026-02-12 11:22:02] Disaster detected | Severity: HIGH
[2026-02-12 11:22:07] Disaster detected | Severity: MODERATE
[2026-02-12 11:22:12] Disaster detected | Severity: LOW
[2026-02-12 11:22:17] Disaster detected | Severity: MODERATE
[2026-02-12 11:22:22] Disaster detected | Severity: CRITICAL
[2026-02-12 11:22:27] Disaster detected | Severity: LOW
[2026-02-12 11:22:32] Disaster detected | Severity: MODERATE
[2026-02-12 11:22:37] Disaster detected | Severity: CRITICAL
[2026-02-12 11:22:42] Disaster detected | Severity: MODERATE
[2026-02-12 11:22:47] Disaster detected | Severity: LOW
[2026-02-12 11:22:52] Disaster detected | Severity: HIGH
[2026-02-12 11:22:57] Disaster detected | Severity: LOW
[2026-02-12 11:23:02] Disaster detected | Severity: CRITICAL
[2026-02-12 11:23:07] Disaster detected | Severity: LOW
[2026-02-12 11:23:12] Disaster detected | Severity: MODERATE
[2026-02-12 11:23:17] Disaster detected | Severity: MODERATE
[2026-02-12 11:23:22] Disaster detected | Severity: LOW
[2026-02-12 11:23:27] Disaster detected | Severity: MODERATE
[2026-02-12 11:23:32] Disaster detected | Severity: LOW
[2026-02-12 11:23:37] Disaster detected | Severity: CRITICAL
[2026-02-12 11:23:42] Disaster detected | Severity: HIGH
[2026-02-12 11:23:47] Disaster detected | Severity: HIGH
[2026-02-12 11:23:52] Disaster detected | Severity: LOW
[2026-02-12 11:23:57] Disaster detected | Severity: MODERATE
[2026-02-12 11:24:02] Disaster detected | Severity: LOW
[2026-02-12 11:24:07] Disaster detected | Severity: LOW
[2026-02-12 11:24:12] Disaster detected | Severity: LOW
[2026-02-12 11:24:17] Disaster detected | Severity: HIGH
[2026-02-12 11:24:22] Disaster detected | Severity: CRITICAL
[2026-02-12 11:24:27] Disaster detected | Severity: CRITICAL
[2026-02-12 11:24:32] Disaster detected | Severity: CRITICAL
[2026-02-12 11:24:37] Disaster detected | Severity: LOW
[2026-02-12 11:24:42] Disaster detected | Severity: CRITICAL
[2026-02-12 11:24:47] Disaster detected | Severity: LOW
[2026-02-12 11:24:52] Disaster detected | Severity: CRITICAL
[2026-02-12 11:24:57] Disaster detected | Severity: LOW
